id,type_content,type_social,type_calendar,type_forum,type_wiki,type_poll,type_other,owner_type_organization,owner_type_space,owner_influence,number_of_likes,number_of_comments,reactivity,is_mentions_me,is_mentions_connections,is_commented_by_me,is_commented_by_connetions,is_liked_by_me,is_liked_by_connections,poster_gender_male,poster_gender_female,poster_is_employee,poster_is_lead,poster_is_in_connections,poster_focus_engineering,poster_focus_sales,poster_focus_marketing,poster_focus_management,poster_focus_financial,poster_focus_other,poster_influence,participant1_conversed,participant1_favored,participant1_gender_male,participant1_gender_female,participant1_is_employee,participant1_is_lead,participant1_is_in_connections,participant1_focus_engineering,participant1_focus_sales,participant1_focus_marketing,participant1_focus_management,participant1_focus_financial,participant1_focus_other,participant1_influence,participant2_conversed,participant2_favored,participant2_gender_male,participant2_gender_female,participant2_is_employee,participant2_is_lead,participant2_is_in_connections,participant2_focus_engineering,participant2_focus_sales,participant2_focus_marketing,participant2_focus_management,participant2_focus_financial,participant2_focus_other,participant2_influence,participant3_conversed,participant3_favored,participant3_gender_male,participant3_gender_female,participant3_is_employee,participant3_is_lead,participant3_is_in_connections,participant3_focus_engineering,participant3_focus_sales,participant3_focus_marketing,participant3_focus_management,participant3_focus_financial,participant3_focus_other,participant3_influence,participant4_conversed,participant4_favored,participant4_gender_male,participant4_gender_female,participant4_is_employee,participant4_is_lead,participant4_is_in_connections,participant4_focus_engineering,participant4_focus_sales,participant4_focus_marketing,participant4_focus_management,participant4_focus_financial,participant4_focus_other,participant4_influence,participant5_conversed,participant5_favored,participant5_gender_male,participant5_gender_female,participant5_is_employee,participant5_is_lead,participant5_is_in_connections,participant5_focus_engineering,participant5_focus_sales,participant5_focus_marketing,participant5_focus_management,participant5_focus_financial,participant5_focus_other,participant5_influence
3,0,0,0,0,0,0,1,1,0,0.1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0.99871,1,0,0,1,0,0,1,0,0,1,0,0,0,0.99871,0,0,1,0,0,0,1,1,0,0,0,0,0,0.99927,0,0,1,0,0,0,1,0,0,0,0,0,1,0.99834,0,0,1,0,0,0,1,1,0,0,0,0,0,0.99918,0,0,1,0,0,0,1,0,0,1,0,0,0,0.99492
1,0,0,0,0,0,0,1,1,0,0.99492,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.0099,1,0,1,0,0,0,0,1,0,0,0,0,0,0.0099,0,0,1,0,0,0,1,1,0,0,0,0,0,0.99927,0,0,1,0,0,0,1,0,0,0,0,0,1,0.99834,0,0,0,1,0,0,1,0,0,1,0,0,0,0.99871,0,0,1,0,0,0,1,1,0,0,0,0,0,0.99918
22,0,0,0,0,0,0,1,0,1,0.97883,2,2,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0.91103,1,0,0,1,0,0,1,0,0,1,0,0,0,0.9987,1,0,1,0,0,0,0,1,0,0,0,0,0,0.0099,0,0,1,0,0,0,1,1,0,0,0,0,0,0.99927,0,0,1,0,0,0,1,0,0,0,0,0,1,0.99832,0,0,1,0,0,0,1,1,0,0,0,0,0,0.99918
35,0,0,0,0,0,0,1,1,0,0.98904,0,1,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0.99927,1,0,1,0,0,0,1,1,0,0,0,0,0,0.99927,0,0,1,0,0,0,1,0,0,0,0,0,1,0.99834,0,0,0,1,0,0,1,0,0,1,0,0,0,0.99871,0,0,1,0,0,0,1,1,0,0,0,0,0,0.99918,0,0,1,0,0,0,1,0,0,1,0,0,0,0.99492
44,0,0,0,0,0,0,1,1,0,0.98904,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0.99927,0,0,1,0,0,0,1,1,0,0,0,0,0,0.99927,0,0,1,0,0,0,1,0,0,0,0,0,1,0.99834,0,0,0,1,0,0,1,0,0,1,0,0,0,0.99871,0,0,1,0,0,0,1,1,0,0,0,0,0,0.99918,0,0,1,0,0,0,1,0,0,1,0,0,0,0.99492
54,0,0,0,0,0,0,1,1,0,0.1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0.99485,1,0,1,0,0,0,1,0,0,1,0,0,0,0.99485,0,0,1,0,0,0,1,1,0,0,0,0,0,0.99927,0,0,1,0,0,0,1,0,0,0,0,0,1,0.99832,0,0,0,1,0,0,1,0,0,1,0,0,0,0.9987,0,0,1,0,0,0,1,1,0,0,0,0,0,0.99918
62,0,0,0,0,0,0,1,1,0,0.1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0.99918,1,0,1,0,0,0,1,1,0,0,0,0,0,0.99918,0,0,1,0,0,0,1,1,0,0,0,0,0,0.99927,0,0,1,0,0,0,1,0,0,0,0,0,1,0.99834,0,0,0,1,0,0,1,0,0,1,0,0,0,0.99871,0,0,1,0,0,0,1,0,0,1,0,0,0,0.99492
52,0,0,0,0,0,0,1,0,1,0.99973,2,4,1,1,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0.99927,1,0,1,0,0,0,0,1,0,0,0,0,0,0.0099,1,0,1,0,0,0,1,0,0,1,0,0,0,0.99485,1,0,1,0,0,0,1,1,0,0,0,0,0,0.99918,1,0,1,0,0,0,1,1,0,0,0,0,0,0.99927,0,0,1,0,0,0,1,0,0,0,0,0,1,0.99832
70,0,0,0,0,0,0,1,0,1,0.99743,2,2,1,0,1,1,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0.99918,1,0,1,0,0,0,1,0,0,1,0,0,0,0.99485,1,0,1,0,0,0,0,1,0,0,0,0,0,0.0099,1,0,1,0,0,0,1,1,0,0,0,0,0,0.99918,0,1,0,1,0,0,1,0,0,1,0,0,0,0.9987,0,0,1,0,0,0,1,1,0,0,0,0,0,0.99927
79,0,0,0,0,1,0,0,0,1,0.99973,1,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0.99927,0,1,1,0,0,0,0,1,0,0,0,0,0,0.0099,0,0,1,0,0,0,1,1,0,0,0,0,0,0.99927,0,0,1,0,0,0,1,0,0,0,0,0,1,0.99832,0,0,0,1,0,0,1,0,0,1,0,0,0,0.9987,0,0,1,0,0,0,1,1,0,0,0,0,0,0.99918
78,0,0,0,1,0,0,0,0,1,0.99973,2,2,1,0,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0.99918,1,0,1,0,0,0,0,1,0,0,0,0,0,0.0099,1,0,1,0,0,0,1,1,0,0,0,0,0,0.99927,0,0,1,0,0,0,1,0,0,0,0,0,1,0.99832,0,0,0,1,0,0,1,0,0,1,0,0,0,0.9987,0,0,1,0,0,0,1,1,0,0,0,0,0,0.99918
86,0,0,1,0,0,0,0,0,1,0.99743,0,2,1,1,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0.9987,1,0,0,1,0,0,1,0,0,1,0,0,0,0.9987,1,0,1,0,0,0,0,1,0,0,0,0,0,0.0099,0,0,1,0,0,0,1,1,0,0,0,0,0,0.99927,0,0,1,0,0,0,1,0,0,0,0,0,1,0.99832,0,0,1,0,0,0,1,1,0,0,0,0,0,0.99918
89,0,0,0,0,0,0,1,0,1,0.99801,0,2,1,1,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0.99918,1,0,1,0,0,0,0,1,0,0,0,0,0,0.0099,1,0,1,0,0,0,1,1,0,0,0,0,0,0.99918,0,0,1,0,0,0,1,1,0,0,0,0,0,0.99927,0,0,1,0,0,0,1,0,0,0,0,0,1,0.99832,0,0,0,1,0,0,1,0,0,1,0,0,0,0.9987
92,0,0,0,0,0,0,1,0,1,0.99743,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0.9987,0,0,1,0,0,0,1,1,0,0,0,0,0,0.99927,0,0,1,0,0,0,1,0,0,0,0,0,1,0.99832,0,0,0,1,0,0,1,0,0,1,0,0,0,0.9987,0,0,1,0,0,0,1,1,0,0,0,0,0,0.99918,0,0,1,0,0,0,1,0,0,1,0,0,0,0.99485
98,0,0,0,0,0,0,1,1,0,0.1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0.99485,1,0,1,0,0,0,1,0,0,1,0,0,0,0.99485,0,0,1,0,0,0,1,1,0,0,0,0,0,0.99927,0,0,1,0,0,0,1,0,0,0,0,0,1,0.99832,0,0,0,1,0,0,1,0,0,1,0,0,0,0.9987,0,0,1,0,0,0,1,1,0,0,0,0,0,0.99918
19,0,0,0,0,0,0,1,0,1,0.99973,0,5,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0.89373,1,0,1,0,0,0,0,1,0,0,0,0,0,0.0099,1,0,1,0,0,0,1,1,0,0,0,0,0,0.99927,1,0,1,0,0,0,1,0,0,1,0,0,0,0.99485,1,0,1,0,0,0,1,1,0,0,0,0,0,0.99918,1,0,1,0,0,0,1,0,0,0,0,0,1,0.99832
111,0,0,0,0,0,0,1,1,0,0.9691,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0.99832,1,0,1,0,0,0,1,0,0,0,0,0,1,0.99832,0,0,1,0,0,0,1,1,0,0,0,0,0,0.99927,0,0,0,1,0,0,1,0,0,1,0,0,0,0.9987,0,0,1,0,0,0,1,1,0,0,0,0,0,0.99918,0,0,1,0,0,0,1,0,0,1,0,0,0,0.99485
119,0,0,0,0,0,0,1,0,1,0.99743,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0.99832,1,0,0,1,0,0,1,0,0,1,0,0,0,0.9987,0,0,1,0,0,0,1,1,0,0,0,0,0,0.99927,0,0,1,0,0,0,1,0,0,0,0,0,1,0.99832,0,0,1,0,0,0,1,1,0,0,0,0,0,0.99918,0,0,1,0,0,0,1,0,0,1,0,0,0,0.99485
118,0,0,0,0,0,0,1,0,1,0.99973,1,2,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0.0099,1,0,1,0,0,0,1,0,0,0,0,0,1,0.99832,1,0,1,0,0,0,1,0,0,1,0,0,0,0.99485,0,1,1,0,0,0,1,1,0,0,0,0,0,0.99927,0,0,0,1,0,0,1,0,0,1,0,0,0,0.9987,0,0,1,0,0,0,1,1,0,0,0,0,0,0.99918
33,0,0,0,0,0,0,1,0,1,0.99643,2,3,0.109320852,0,1,1,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0.9987,1,0,1,0,0,0,0,1,0,0,0,0,0,0.0099,1,0,0,1,0,0,1,0,0,1,0,0,0,0.9987,1,0,1,0,0,0,1,0,0,0,0,0,1,0.99832,0,0,1,0,0,0,1,1,0,0,0,0,0,0.99927,0,0,1,0,0,0,1,1,0,0,0,0,0,0.99918
95,0,0,0,0,0,0,1,0,1,0.99973,1,5,0.109320852,0,0,1,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0.99918,1,0,1,0,0,0,1,1,0,0,0,0,0,0.99927,1,0,1,0,0,0,1,0,0,0,0,0,1,0.99832,1,0,1,0,0,0,1,0,0,1,0,0,0,0.99485,1,0,1,0,0,0,0,1,0,0,0,0,0,0.0099,1,0,1,0,0,0,1,1,0,0,0,0,0,0.99918
12,0,0,0,0,0,0,1,1,0,0.99492,2,3,1,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0.0099,1,0,1,0,0,0,1,1,0,0,0,0,0,0.99918,1,0,1,0,0,0,1,1,0,0,0,0,0,0.99927,1,0,1,0,0,0,1,0,0,0,0,0,1,0.99834,0,1,0,1,0,0,1,0,0,1,0,0,0,0.99871,0,0,1,0,0,0,1,0,0,1,0,0,0,0.99492
10,0,0,0,0,0,0,1,1,0,0.99492,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.0099,1,0,1,0,0,0,0,1,0,0,0,0,0,0.0099,0,0,1,0,0,0,1,1,0,0,0,0,0,0.99927,0,0,1,0,0,0,1,0,0,0,0,0,1,0.99834,0,0,0,1,0,0,1,0,0,1,0,0,0,0.99871,0,0,1,0,0,0,1,1,0,0,0,0,0,0.99918
46,0,0,0,0,0,0,1,1,0,0.98904,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0.99927,1,0,1,0,0,0,1,1,0,0,0,0,0,0.99927,0,0,1,0,0,0,1,0,0,0,0,0,1,0.99834,0,0,0,1,0,0,1,0,0,1,0,0,0,0.99871,0,0,1,0,0,0,1,1,0,0,0,0,0,0.99918,0,0,1,0,0,0,1,0,0,1,0,0,0,0.99492
8,0,0,0,0,0,0,1,1,0,0.1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0.99871,1,0,0,1,0,0,1,0,0,1,0,0,0,0.99871,0,0,1,0,0,0,1,1,0,0,0,0,0,0.99927,0,0,1,0,0,0,1,0,0,0,0,0,1,0.99834,0,0,1,0,0,0,1,1,0,0,0,0,0,0.99918,0,0,1,0,0,0,1,0,0,1,0,0,0,0.99492
15,0,0,0,0,0,0,1,0,1,0.99643,1,4,1,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0.78308,1,0,0,1,0,0,1,0,0,1,0,0,0,0.9987,1,0,1,0,0,0,0,1,0,0,0,0,0,0.0099,1,0,1,0,0,0,1,0,0,0,0,0,1,0.99832,1,0,1,0,0,0,1,1,0,0,0,0,0,0.99918,0,0,1,0,0,0,1,1,0,0,0,0,0,0.99927
135,0,0,0,0,0,0,1,1,0,0.1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0.99918,1,0,1,0,0,0,1,1,0,0,0,0,0,0.99918,0,0,1,0,0,0,1,1,0,0,0,0,0,0.99927,0,0,1,0,0,0,1,0,0,0,0,0,1,0.99834,0,0,0,1,0,0,1,0,0,1,0,0,0,0.99871,0,0,1,0,0,0,1,0,0,1,0,0,0,0.99492
102,0,0,0,0,0,0,1,1,0,0.9691,1,1,0.075452325,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0.99832,1,0,1,0,0,0,1,0,0,0,0,0,1,0.99832,0,1,1,0,0,0,0,1,0,0,0,0,0,0.0099,0,0,1,0,0,0,1,1,0,0,0,0,0,0.99927,0,0,0,1,0,0,1,0,0,1,0,0,0,0.9987,0,0,1,0,0,0,1,1,0,0,0,0,0,0.99918
13,0,0,0,0,0,0,1,0,1,0.99801,0,6,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0.92038,1,0,1,0,0,0,0,1,0,0,0,0,0,0.0099,1,0,1,0,0,0,1,1,0,0,0,0,0,0.99927,1,0,1,0,0,0,1,0,0,1,0,0,0,0.99485,1,0,1,0,0,0,1,1,0,0,0,0,0,0.99918,1,0,1,0,0,0,1,0,0,0,0,0,1,0.99832
130,0,0,0,0,0,0,1,0,1,0.99801,0,3,1,0,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0.99485,1,0,1,0,0,0,1,0,0,0,0,0,1,0.99832,1,0,1,0,0,0,0,1,0,0,0,0,0,0.0099,1,0,1,0,0,0,1,1,0,0,0,0,0,0.99918,1,0,1,0,0,0,1,0,0,1,0,0,0,0.99485,0,0,1,0,0,0,1,1,0,0,0,0,0,0.99927
149,0,0,0,0,0,0,1,0,1,0.99801,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0.0099,0,1,0,1,0,0,1,0,0,1,0,0,0,0.9987,0,0,1,0,0,0,1,1,0,0,0,0,0,0.99927,0,0,1,0,0,0,1,0,0,0,0,0,1,0.99832,0,0,1,0,0,0,1,1,0,0,0,0,0,0.99918,0,0,1,0,0,0,1,0,0,1,0,0,0,0.99485
150,0,0,0,0,0,0,1,0,1,0.99973,1,2,1,1,1,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0.99918,1,0,1,0,0,0,1,0,0,0,0,0,1,0.99832,1,0,1,0,0,0,1,1,0,0,0,0,0,0.99918,1,0,1,0,0,0,0,1,0,0,0,0,0,0.0099,1,0,0,1,0,0,1,0,0,1,0,0,0,0.9987,0,0,1,0,0,0,1,1,0,0,0,0,0,0.99927
153,0,0,0,0,0,0,1,1,0,0.98904,2,1,1,0,0,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0.99927,1,0,1,0,0,0,0,1,0,0,0,0,0,0.0099,0,1,1,0,0,0,1,1,0,0,0,0,0,0.99918,0,0,1,0,0,0,1,1,0,0,0,0,0,0.99927,0,0,1,0,0,0,1,0,0,0,0,0,1,0.99834,0,0,0,1,0,0,1,0,0,1,0,0,0,0.99871
25,0,0,0,0,0,0,1,0,1,0.99743,0,6,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0.85207,1,0,0,1,0,0,1,0,0,1,0,0,0,0.9987,1,0,1,0,0,0,0,1,0,0,0,0,0,0.0099,1,0,1,0,0,0,1,1,0,0,0,0,0,0.99927,1,0,1,0,0,0,1,0,0,1,0,0,0,0.99485,1,0,1,0,0,0,1,1,0,0,0,0,0,0.99918
156,0,0,0,1,0,0,0,1,0,0.99492,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.0099,0,0,1,0,0,0,1,1,0,0,0,0,0,0.99927,0,0,1,0,0,0,1,0,0,0,0,0,1,0.99834,0,0,0,1,0,0,1,0,0,1,0,0,0,0.99871,0,0,1,0,0,0,1,1,0,0,0,0,0,0.99918,0,0,1,0,0,0,1,0,0,1,0,0,0,0.99492
157,0,0,0,0,0,0,1,1,0,0.9691,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0.99832,0,0,1,0,0,0,1,1,0,0,0,0,0,0.99927,0,0,1,0,0,0,1,0,0,0,0,0,1,0.99832,0,0,0,1,0,0,1,0,0,1,0,0,0,0.9987,0,0,1,0,0,0,1,1,0,0,0,0,0,0.99918,0,0,1,0,0,0,1,0,0,1,0,0,0,0.99485
158,0,0,0,0,0,0,1,0,1,0.99973,2,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0.99832,0,1,1,0,0,0,1,1,0,0,0,0,0,0.99918,0,1,1,0,0,0,1,1,0,0,0,0,0,0.99927,0,0,1,0,0,0,1,0,0,0,0,0,1,0.99832,0,0,0,1,0,0,1,0,0,1,0,0,0,0.9987,0,0,1,0,0,0,1,0,0,1,0,0,0,0.99485
159,0,0,0,1,0,0,0,1,0,0.9691,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0.99832,0,1,1,0,0,0,1,1,0,0,0,0,0,0.99927,0,0,1,0,0,0,1,0,0,0,0,0,1,0.99832,0,0,0,1,0,0,1,0,0,1,0,0,0,0.9987,0,0,1,0,0,0,1,1,0,0,0,0,0,0.99918,0,0,1,0,0,0,1,0,0,1,0,0,0,0.99485
160,0,0,0,0,1,0,0,0,1,0.99801,1,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0.99918,0,1,1,0,0,0,1,1,0,0,0,0,0,0.99927,0,0,1,0,0,0,1,0,0,0,0,0,1,0.99832,0,0,0,1,0,0,1,0,0,1,0,0,0,0.9987,0,0,1,0,0,0,1,1,0,0,0,0,0,0.99918,0,0,1,0,0,0,1,0,0,1,0,0,0,0.99485